Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,Packaging,Series,Part Status,Capacitance,Tolerance,Voltage - Rated,ESR (Equivalent Series Resistance),Lifetime @ Temp.,Termination,Mounting Type,Package / Case,Lead Spacing,Size / Dimension,Height - Seated (Max),Operating Temperature
"//media.digikey.com/pdf/Data%20Sheets/Elna%20America%20Inc/DS,DSK.pdf",//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg,604-1020-2-ND,DSK-3R3H224U-HL,Elna America,CAP 220MF -20% +80% 3.3V SMD,45000,0,0.64815,0,1500,Tape & Reel (TR),DSK,Active,220mF,"-20%, +80%",3.3V,200 Ohm,1000 Hrs @ 60°C,SMD (SMT) Tabs,Surface Mount,"Coin, Wide Terminals - Opposite Sides",-,"0.268"" Dia (6.80mm)","0.118"" (3.00mm)",-10°C ~ 60°C
"//media.digikey.com/pdf/Data%20Sheets/Elna%20America%20Inc/DS,DSK.pdf",//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg,604-1020-1-ND,DSK-3R3H224U-HL,Elna America,CAP 220MF -20% +80% 3.3V SMD,46333,0,1.89,0,1,Cut Tape (CT),DSK,Active,220mF,"-20%, +80%",3.3V,200 Ohm,1000 Hrs @ 60°C,SMD (SMT) Tabs,Surface Mount,"Coin, Wide Terminals - Opposite Sides",-,"0.268"" Dia (6.80mm)","0.118"" (3.00mm)",-10°C ~ 60°C
"//media.digikey.com/pdf/Data%20Sheets/Elna%20America%20Inc/DS,DSK.pdf",//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg,604-1020-6-ND,DSK-3R3H224U-HL,Elna America,CAP 220MF -20% +80% 3.3V SMD,46333,0,Digi-Reel,0,1,Digi-Reel®,DSK,Active,220mF,"-20%, +80%",3.3V,200 Ohm,1000 Hrs @ 60°C,SMD (SMT) Tabs,Surface Mount,"Coin, Wide Terminals - Opposite Sides",-,"0.268"" Dia (6.80mm)","0.118"" (3.00mm)",-10°C ~ 60°C
"//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/XH414HG,%20XH409HG.pdf",//media.digikey.com/photos/Seiko%20Instr%20Photos/XH414HG-IV01E.JPG,728-1050-2-ND,XH414HG-IV01E,Seiko Instruments,CAP 80MF 3.3V SURFACE MOUNT,40000,0,0.715,0,4000,Tape & Reel (TR),XH-HG,Not For New Designs,80mF,-,3.3V,-,-,SMD (SMT) Tabs,Surface Mount,"Coin, Wide and Corner Terminals",-,"0.189"" Dia (4.80mm)","0.073"" (1.85mm)",-20°C ~ 60°C
"//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/XH414HG,%20XH409HG.pdf",//media.digikey.com/photos/Seiko%20Instr%20Photos/XH414HG-IV01E.JPG,728-1050-1-ND,XH414HG-IV01E,Seiko Instruments,CAP 80MF 3.3V SURFACE MOUNT,43828,0,2.15,0,1,Cut Tape (CT),XH-HG,Not For New Designs,80mF,-,3.3V,-,-,SMD (SMT) Tabs,Surface Mount,"Coin, Wide and Corner Terminals",-,"0.189"" Dia (4.80mm)","0.073"" (1.85mm)",-20°C ~ 60°C
"//media.digikey.com/pdf/Data%20Sheets/Seiko%20Instruments%20PDFs/XH414HG,%20XH409HG.pdf",//media.digikey.com/photos/Seiko%20Instr%20Photos/XH414HG-IV01E.JPG,728-1050-6-ND,XH414HG-IV01E,Seiko Instruments,CAP 80MF 3.3V SURFACE MOUNT,43828,0,Digi-Reel,0,1,Digi-Reel®,XH-HG,Not For New Designs,80mF,-,3.3V,-,-,SMD (SMT) Tabs,Surface Mount,"Coin, Wide and Corner Terminals",-,"0.189"" Dia (4.80mm)","0.073"" (1.85mm)",-20°C ~ 60°C
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/ds_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg,604-1147-2-ND,DSK-3R3H204T614-H2L,Elna America,CAP 200MF -20% +80% 3.3V SMD,52500,0,0.7464,0,1500,Tape & Reel (TR),DSK,Active,200mF,"-20%, +80%",3.3V,200 Ohm,1000 Hrs @ 60°C,SMD (SMT) Tabs,Surface Mount,"Coin, Wide Terminals - Opposite Sides",-,"0.268"" Dia (6.80mm)","0.071"" (1.80mm)",-10°C ~ 60°C
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/ds_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg,604-1147-1-ND,DSK-3R3H204T614-H2L,Elna America,CAP 200MF -20% +80% 3.3V SMD,52693,0,1.95,0,1,Cut Tape (CT),DSK,Active,200mF,"-20%, +80%",3.3V,200 Ohm,1000 Hrs @ 60°C,SMD (SMT) Tabs,Surface Mount,"Coin, Wide Terminals - Opposite Sides",-,"0.268"" Dia (6.80mm)","0.071"" (1.80mm)",-10°C ~ 60°C
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/ds_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg,604-1147-6-ND,DSK-3R3H204T614-H2L,Elna America,CAP 200MF -20% +80% 3.3V SMD,52693,0,Digi-Reel,0,1,Digi-Reel®,DSK,Active,200mF,"-20%, +80%",3.3V,200 Ohm,1000 Hrs @ 60°C,SMD (SMT) Tabs,Surface Mount,"Coin, Wide Terminals - Opposite Sides",-,"0.268"" Dia (6.80mm)","0.071"" (1.80mm)",-10°C ~ 60°C
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dsk414_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DSKW-SERIES.jpg,604-1148-2-ND,DSK-3R3H703T414-HRL,Elna America,CAP 70MF -20% +80% 3.3V SMD,18000,0,0.75276,0,2000,Tape & Reel (TR),DSK,Active,70mF,"-20%, +80%",3.3V,100 Ohm,500 Hrs @ 70°C,SMD (SMT) Tabs,Surface Mount,"Coin, Wide Terminals - Opposite Sides",-,"0.189"" Dia (4.80mm)","0.085"" (2.16mm)",-10°C ~ 70°C
