Datasheets,Image,Digi-Key Part Number,Manufacturer Part Number,Manufacturer,Description,Quantity Available,Factory Stock,Unit Price (USD),@ qty,Minimum Quantity,"Packaging","Series","Part Status","Capacitance","Tolerance","Voltage - Rated","ESR (Equivalent Series Resistance)","Lifetime @ Temp.","Termination","Mounting Type","Package / Case","Lead Spacing","Size / Dimension","Height - Seated (Max)","Operating Temperature"
http://www.vishay.com/docs/28409/196hvc.pdf,-,4879PHBK-ND,MAL219690108E3,Vishay BC Components,CAPACITOR 90F -20% +80% 8.4V T/H,94,0,"19.66000","0","1","Tray","ENYCAP™ 196HVC","Active","90F","-20%, +80%","8.4V","90 mOhm @ 1kHz","2000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Vertical","0.394"" (10.00mm)","1.378"" L x 0.787"" W (35.00mm x 20.00mm)","0.984"" (25.00mm)","-20°C ~ 85°C"
http://www.vishay.com/docs/28409/196hvc.pdf,-,4885PHBK-ND,MAL219690118E3,Vishay BC Components,CAPACITOR 90F -20% +80% 8.4V T/H,75,0,"19.82000","0","1","Tray","ENYCAP™ 196HVC","Active","90F","-20%, +80%","8.4V","90 mOhm @ 1kHz","2000 Hrs @ 85°C","PC Pins","Through Hole","Coin, Stacked Horizontal","0.394"" (10.00mm)","1.378"" L x 0.787"" W (35.00mm x 20.00mm)","0.984"" (25.00mm)","-20°C ~ 85°C"
http://datasheets.avx.com/AVX-SCC.pdf,//media.digikey.com/Photos/AVX%20Photos/SCCZ1EB308VCB.jpg,478-11296-ND,SCCZ1EB308VCB,AVX Corporation,CAP 3000F -5% +25% 2.7V CHAS MNT,18,0,"57.60000","0","1","Bulk","SCC","Active","3000F","-5%, +25%","2.7V","0.2 mOhm @ 1kHz","1000 Hrs @ 60°C","Weld Stud","Chassis Mount","Axial, Can","-","2.362"" Dia x 5.433"" L (60.00mm x 138.00mm)","-","-40°C ~ 65°C"
http://www.cooperindustries.com/content/dam/public/bussmann/Electronics/Resources/product-datasheets/bus-elx-ds-10754-xlma62.pdf,//media.digikey.com/Photos/Eaton%20Bussmann/MFG_XLM-62R1137-R.jpg,283-4786-ND,XLM-62R1137A-R,Eaton,CAP MODULE 130F 62V,18,0,"1396.50000","0","1","Bulk","XLM","Active","130F","0%, +20%","62.1V","6.7 mOhm","1500 Hrs @ 65°C","Screw Terminals","Chassis Mount","Module","-","24.996"" L x 6.937"" W (634.90mm x 176.20mm)","6.823"" (173.30mm)","-40°C ~ 65°C"
http://www.cde.com/resources/catalogs/EDL.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/EDLSD334V5R5C.jpg,338-3567-ND,EDLSD334V5R5C,Cornell Dubilier Electronics (CDE),CAP 330MF 5.5V THROUGH HOLE,242,4000,"2.04000","0","1","Bulk","SD","Last Time Buy","330mF","-","5.5V","75 Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.413"" Dia (10.50mm)","0.453"" (11.50mm)","-25°C ~ 70°C"
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dxj_e.pdf,//media.digikey.com/Photos/Elna%20America%20Photos/DXJV%20SERIES.JPG,604-1088-ND,DXJ-5R5V104U,Elna America,CAP 100MF -20% +80% 5.5V T/H,32,0,"2.14000","0","1","Bulk","DXJ","Active","100mF","-20%, +80%","5.5V","150 Ohm","1000 Hrs @ 85°C","PC Pins","Through Hole","Axial, Can - Vertical","0.197"" (5.00mm)","0.453"" Dia (11.50mm)","0.532"" (13.50mm)","-10°C ~ 85°C"
http://www.elna.co.jp/en/capacitor/double_layer/catalog/pdf/dc_e.pdf,//media.digikey.com/photos/Elna%20America%20Photos/DC-2R5D204T614.JPG,604-1075-ND,DC-2R5D204T614,Elna America,CAP 200MF -20% +80% 2.5V HOLDER,131,0,"2.36000","0","1","Bulk","DC","Active","200mF","-20%, +80%","2.5V","100 Ohm @ 1kHz","1000 Hrs @ 70°C","-","Requires Holder","Coin","-","0.268"" Dia (6.80mm)","0.083"" (2.10mm)","-25°C ~ 70°C"
http://www.cde.com/resources/catalogs/EDL.pdf,//media.digikey.com/Photos/Cornell%20Dubilier%20Photos/EDLNF224A5R5C.JPG,338-3564-ND,EDLNF224A5R5C,Cornell Dubilier Electronics (CDE),CAP 220MF 5.5V THROUGH HOLE,31,0,"2.52000","0","1","Bulk","NF","Last Time Buy","220mF","-","5.5V","75 Ohm @ 1kHz","1000 Hrs @ 70°C","PC Pins","Through Hole","Radial, Can","0.197"" (5.00mm)","0.531"" Dia (13.50mm)","0.295"" (7.50mm)","-25°C ~ 70°C"
http://ds.yuden.co.jp/TYCOMPAS/ut/detail.do?productNo=PAS0815LS2R5105&fileName=PAS0815LS2R5105_SS&mode=specSheetDownload,//media.digikey.com/Photos/Taiyo%20Yuden%20Photos/PAS0815LS2R5105.JPG,587-3464-ND,PAS0815LS2R5105,Taiyo Yuden,CAP 1F 20% 2.5V THROUGH HOLE,830,0,"2.72000","0","1","Bulk","LS","Active","1F","±20%","2.5V","70 mOhm","-","PC Pins","Through Hole","Radial, Can","0.138"" (3.50mm)","0.315"" Dia (8.00mm)","0.669"" (17.00mm)","-25°C ~ 70°C"
https://search.kemet.com/component-edge/download/datasheet/FC0H104ZFTBR24.pdf,//media.digikey.com/Photos/Kemet%20Photos/FC-SERIES-10.50mm.jpg,399-10939-2-ND,FC0H104ZFTBR24,KEMET,CAP 100MF -20% +80% 5.5V SMD,0,0,"1.05700","0","1000","Tape & Reel (TR)","FC","Active","100mF","-20%, +80%","5.5V","25 Ohm @ 1kHz","-","SMD (SMT) Tabs","Surface Mount","Radial, Can - SMD","-","0.413"" Dia (10.50mm)","0.217"" (5.50mm)","-25°C ~ 70°C"
